header,primary_lib,lib_name,resolved_funcs,total_prototypes,other_libs
winnls.h,libkernel32.a,kernel32,108,111,normaliz(5);winstorecompat(3);msvcr110(1);msvcr100(1);msvcrt(1);crtdll(1);msvcrt40(1);msvcrt10(1);msvcr120(1);msvcr90(1);msvcr71(1);msvcr80(1);msvcr120d(1);msvcr120_app(1);msvcrt-os(1);msvcr70(1);msvcrt20(1);msvcr90d(1);windowsappcompat(1)
winnls32.h,libuser32.a,user32,9,9,
winnt.h,libntdll.a,ntdll,22,38,kernel32(8);ntoskrnl(6);windowsapp(3);mincore(3);windowsappcompat(2);winstorecompat(2)
winreg.h,libadvapi32.a,advapi32,90,92,
winsafer.h,libadvapi32.a,advapi32,10,10,
winscard.h,libwinscard.a,winscard,61,67,
winsnmp.h,libwsnmp32.a,wsnmp32,46,49,
winsock.h,libwsock32.a,wsock32,50,50,ws2_32(46);mswsock(4)
winsock2.h,libws2_32.a,ws2_32,106,106,wsock32(46)
winsplp.h,libspoolss.a,spoolss,27,57,win32spl(6);winspool(4);mscms(2)
winspool.h,libwinspool.a,winspool,144,146,spoolss(65);win32spl(4)
winstring.h,libruntimeobject.a,runtimeobject,15,16,
winsvc.h,libadvapi32.a,advapi32,49,49,
winternl.h,libntdll.a,ntdll,49,49,ntoskrnl(38);kernel32(1)
wintrust.h,libwintrust.a,wintrust,16,16,
winusb.h,libwinusb.a,winusb,31,31,
winuser.h,libuser32.a,user32,700,711,dxerr8(2);dxerr9(2);comctl32(1)
winver.h,libversion.a,version,12,16,windowsapp(4);mincore(2);kernel32(2)
wlanapi.h,libwlanapi.a,wlanapi,35,36,wlanui(1)
wmiutils.h,libglaux.a,glaux,1,84,
wow64apiset.h,libkernel32.a,kernel32,10,13,
wownt32.h,libwow32.a,wow32,16,16,
ws2spi.h,libws2_32.a,ws2_32,2,5,mswsock(1)
ws2tcpip.h,libws2_32.a,ws2_32,14,21,fwpuclnt(5)
wsdattachment.h,libwsdapi.a,wsdapi,1,1,
wsdbase.h,libwsdapi.a,wsdapi,4,4,
wsdclient.h,libwsdapi.a,wsdapi,2,3,
wsddisco.h,libwsdapi.a,wsdapi,2,4,
wsdhost.h,libwsdapi.a,wsdapi,2,3,
wsdutil.h,libwsdapi.a,wsdapi,9,9,
wsdxml.h,libwsdapi.a,wsdapi,2,2,
wtsapi32.h,libwtsapi32.a,wtsapi32,44,44,
xaudio2.h,libxaudio2_8.a,xaudio2_8,1,1,
xinput.h,libxinput1_3.a,xinput1_3,7,8,xinput(7);xinput1_4(6);xinput1_2(5);xinput1_1(5);xinput9_1_0(4)
